benchmark,time(s),result
pec_look_ahead_arbiter_2_101,79,unsat
pec_look_ahead_arbiter_2_10,150,unsat
pec_look_ahead_arbiter_2_129,34,unsat
pec_look_ahead_arbiter_2_132,85,unsat
pec_look_ahead_arbiter_2_145,7200,timeout
pec_look_ahead_arbiter_2_155,120,unsat
pec_look_ahead_arbiter_2_159,54,unsat
pec_look_ahead_arbiter_2_15,79,unsat
pec_look_ahead_arbiter_2_162,32,unsat
pec_look_ahead_arbiter_2_170,30,unsat
pec_look_ahead_arbiter_2_174,79,unsat
pec_look_ahead_arbiter_2_178,82,unsat
pec_look_ahead_arbiter_2_188,25,unsat
pec_look_ahead_arbiter_2_18,92,unsat
pec_look_ahead_arbiter_2_1,52,unsat
pec_look_ahead_arbiter_2_203,80,unsat
pec_look_ahead_arbiter_2_216,89,unsat
pec_look_ahead_arbiter_2_228,87,unsat
pec_look_ahead_arbiter_2_253,58,unsat
pec_look_ahead_arbiter_2_260,145,unsat
pec_look_ahead_arbiter_2_265,44,unsat
pec_look_ahead_arbiter_2_274,84,unsat
pec_look_ahead_arbiter_2_282,79,sat
pec_look_ahead_arbiter_2_287,63,unsat
pec_look_ahead_arbiter_2_295,28,unsat
pec_look_ahead_arbiter_2_305,29,unsat
pec_look_ahead_arbiter_2_306,51,unsat
pec_look_ahead_arbiter_2_311,220,unsat
pec_look_ahead_arbiter_2_317,39,unsat
pec_look_ahead_arbiter_2_320,108,unsat
pec_look_ahead_arbiter_2_32,51,unsat
pec_look_ahead_arbiter_2_359,120,unsat
pec_look_ahead_arbiter_2_361,37,unsat
pec_look_ahead_arbiter_2_363,25,unsat
pec_look_ahead_arbiter_2_382,52,unsat
pec_look_ahead_arbiter_2_391,102,unsat
pec_look_ahead_arbiter_2_400,113,unsat
pec_look_ahead_arbiter_2_451,75,unsat
pec_look_ahead_arbiter_2_459,53,unsat
pec_look_ahead_arbiter_2_468,54,unsat
pec_look_ahead_arbiter_2_46,80,unsat
pec_look_ahead_arbiter_2_484,53,unsat
pec_look_ahead_arbiter_2_493,117,unsat
pec_look_ahead_arbiter_2_496,42,unsat
pec_look_ahead_arbiter_2_499,100,unsat
pec_look_ahead_arbiter_2_537,42,unsat
pec_look_ahead_arbiter_2_538,96,unsat
pec_look_ahead_arbiter_2_539,172,unsat
pec_look_ahead_arbiter_2_53,44,unsat
pec_look_ahead_arbiter_2_544,149,unsat
pec_look_ahead_arbiter_2_546,83,unsat
pec_look_ahead_arbiter_2_575,78,unsat
pec_look_ahead_arbiter_2_598,84,unsat
pec_look_ahead_arbiter_2_607,80,unsat
pec_look_ahead_arbiter_2_617,58,unsat
pec_look_ahead_arbiter_2_623,38,unsat
pec_look_ahead_arbiter_2_626,40,unsat
pec_look_ahead_arbiter_2_627,94,unsat
pec_look_ahead_arbiter_2_630,69,unsat
pec_look_ahead_arbiter_2_641,98,unsat
pec_look_ahead_arbiter_2_653,54,unsat
pec_look_ahead_arbiter_2_660,56,unsat
pec_look_ahead_arbiter_2_665,66,unsat
pec_look_ahead_arbiter_2_670,68,unsat
pec_look_ahead_arbiter_2_674,40,unsat
pec_look_ahead_arbiter_2_67,335,unsat
pec_look_ahead_arbiter_2_69,52,unsat
pec_look_ahead_arbiter_2_705,43,unsat
pec_look_ahead_arbiter_2_727,132,unsat
pec_look_ahead_arbiter_2_728,93,unsat
pec_look_ahead_arbiter_2_746,66,unsat
pec_look_ahead_arbiter_2_767,64,unsat
pec_look_ahead_arbiter_2_775,163,unsat
pec_look_ahead_arbiter_2_778,41,unsat
pec_look_ahead_arbiter_2_779,65,unsat
pec_look_ahead_arbiter_2_787,70,unsat
pec_look_ahead_arbiter_2_79,44,unsat
pec_look_ahead_arbiter_2_810,39,unsat
pec_look_ahead_arbiter_2_814,34,unsat
pec_look_ahead_arbiter_2_815,37,unsat
pec_look_ahead_arbiter_2_833,85,unsat
pec_look_ahead_arbiter_2_848,91,unsat
pec_look_ahead_arbiter_2_877,126,unsat
pec_look_ahead_arbiter_2_878,59,unsat
pec_look_ahead_arbiter_2_8,72,unsat
pec_look_ahead_arbiter_2_903,44,unsat
pec_look_ahead_arbiter_2_916,193,unsat
pec_look_ahead_arbiter_2_926,36,unsat
pec_look_ahead_arbiter_2_934,124,unsat
pec_look_ahead_arbiter_2_936,47,unsat
pec_look_ahead_arbiter_2_945,7200,timeout
pec_look_ahead_arbiter_2_952,31,unsat
pec_look_ahead_arbiter_2_954,222,unsat
pec_look_ahead_arbiter_2_956,42,unsat
pec_look_ahead_arbiter_2_960,86,unsat
pec_look_ahead_arbiter_2_968,37,unsat
pec_look_ahead_arbiter_2_971,34,unsat
pec_look_ahead_arbiter_2_978,63,unsat
pec_look_ahead_arbiter_2_983,120,unsat
pec_look_ahead_arbiter_2_984,45,unsat
