benchmark,time(s),result
pec_adder_3_bit_2_0,12,sat
pec_adder_3_bit_2_10,13,error
pec_adder_3_bit_2_11,8,error
pec_adder_3_bit_2_12,11,error
pec_adder_3_bit_2_13,6,error
pec_adder_3_bit_2_14,6,unsat
pec_adder_3_bit_2_15,7,unsat
pec_adder_3_bit_2_16,10,unsat
pec_adder_3_bit_2_17,10,unsat
pec_adder_3_bit_2_18,8,error
pec_adder_3_bit_2_19,10,unsat
pec_adder_3_bit_2_1,7,sat
pec_adder_3_bit_2_20,37,sat
pec_adder_3_bit_2_21,9,unsat
pec_adder_3_bit_2_22,8,unsat
pec_adder_3_bit_2_23,14,sat
pec_adder_3_bit_2_24,8,unsat
pec_adder_3_bit_2_25,10,error
pec_adder_3_bit_2_26,9,error
pec_adder_3_bit_2_27,8,error
pec_adder_3_bit_2_28,7,unsat
pec_adder_3_bit_2_29,12,error
pec_adder_3_bit_2_2,6,unsat
pec_adder_3_bit_2_30,7,unsat
pec_adder_3_bit_2_31,9,error
pec_adder_3_bit_2_32,8,error
pec_adder_3_bit_2_33,5,error
pec_adder_3_bit_2_34,8,error
pec_adder_3_bit_2_35,18,error
pec_adder_3_bit_2_36,8,unsat
pec_adder_3_bit_2_37,8,unsat
pec_adder_3_bit_2_38,7,error
pec_adder_3_bit_2_39,6,unsat
pec_adder_3_bit_2_3,9,unsat
pec_adder_3_bit_2_40,8,error
pec_adder_3_bit_2_41,11,unsat
pec_adder_3_bit_2_42,12,unsat
pec_adder_3_bit_2_43,10,error
pec_adder_3_bit_2_44,7,unsat
pec_adder_3_bit_2_45,11,unsat
pec_adder_3_bit_2_46,13,unsat
pec_adder_3_bit_2_47,10,sat
pec_adder_3_bit_2_48,9,unsat
pec_adder_3_bit_2_49,9,unsat
pec_adder_3_bit_2_4,9,unsat
pec_adder_3_bit_2_50,13,unsat
pec_adder_3_bit_2_51,15,unsat
pec_adder_3_bit_2_52,7,unsat
pec_adder_3_bit_2_53,10,unsat
pec_adder_3_bit_2_54,10,unsat
pec_adder_3_bit_2_55,14,unsat
pec_adder_3_bit_2_56,8,unsat
pec_adder_3_bit_2_57,9,unsat
pec_adder_3_bit_2_58,11,unsat
pec_adder_3_bit_2_59,11,unsat
pec_adder_3_bit_2_5,8,unsat
pec_adder_3_bit_2_60,12,unsat
pec_adder_3_bit_2_61,9,unsat
pec_adder_3_bit_2_62,18,unsat
pec_adder_3_bit_2_63,18,unsat
pec_adder_3_bit_2_64,11,unsat
pec_adder_3_bit_2_65,5,unsat
pec_adder_3_bit_2_66,7,unsat
pec_adder_3_bit_2_67,8,unsat
pec_adder_3_bit_2_68,9,unsat
pec_adder_3_bit_2_69,9,unsat
pec_adder_3_bit_2_6,7,unsat
pec_adder_3_bit_2_70,6,unsat
pec_adder_3_bit_2_71,16,unsat
pec_adder_3_bit_2_72,18,unsat
pec_adder_3_bit_2_73,11,unsat
pec_adder_3_bit_2_74,8,unsat
pec_adder_3_bit_2_75,8,unsat
pec_adder_3_bit_2_76,11,unsat
pec_adder_3_bit_2_77,11,unsat
pec_adder_3_bit_2_78,8,unsat
pec_adder_3_bit_2_79,8,unsat
pec_adder_3_bit_2_7,12,unsat
pec_adder_3_bit_2_80,5,unsat
pec_adder_3_bit_2_81,8,unsat
pec_adder_3_bit_2_82,7,unsat
pec_adder_3_bit_2_83,26,sat
pec_adder_3_bit_2_84,12,unsat
pec_adder_3_bit_2_85,9,unsat
pec_adder_3_bit_2_86,10,unsat
pec_adder_3_bit_2_87,9,unsat
pec_adder_3_bit_2_88,10,unsat
pec_adder_3_bit_2_89,5,unsat
pec_adder_3_bit_2_8,10,unsat
pec_adder_3_bit_2_90,7,unsat
pec_adder_3_bit_2_91,10,unsat
pec_adder_3_bit_2_92,11,unsat
pec_adder_3_bit_2_93,9,unsat
pec_adder_3_bit_2_94,20,unsat
pec_adder_3_bit_2_95,18,unsat
pec_adder_3_bit_2_96,9,unsat
pec_adder_3_bit_2_97,14,unsat
pec_adder_3_bit_2_98,21,unsat
pec_adder_3_bit_2_99,7,unsat
pec_adder_3_bit_2_9,17,unsat
