benchmark,time(s),result
pec_look_ahead_arbiter_4_108,118,unsat
pec_look_ahead_arbiter_4_121,129,unsat
pec_look_ahead_arbiter_4_124,143,unsat
pec_look_ahead_arbiter_4_125,298,unsat
pec_look_ahead_arbiter_4_145,56,unsat
pec_look_ahead_arbiter_4_14,451,unsat
pec_look_ahead_arbiter_4_163,208,unsat
pec_look_ahead_arbiter_4_168,117,unsat
pec_look_ahead_arbiter_4_18,245,unsat
pec_look_ahead_arbiter_4_206,187,unsat
pec_look_ahead_arbiter_4_241,165,unsat
pec_look_ahead_arbiter_4_250,369,unsat
pec_look_ahead_arbiter_4_251,183,unsat
pec_look_ahead_arbiter_4_257,247,unsat
pec_look_ahead_arbiter_4_265,190,unsat
pec_look_ahead_arbiter_4_277,269,unsat
pec_look_ahead_arbiter_4_283,96,unsat
pec_look_ahead_arbiter_4_309,130,unsat
pec_look_ahead_arbiter_4_310,89,unsat
pec_look_ahead_arbiter_4_314,282,unsat
pec_look_ahead_arbiter_4_315,224,unsat
pec_look_ahead_arbiter_4_317,317,unsat
pec_look_ahead_arbiter_4_322,193,unsat
pec_look_ahead_arbiter_4_323,184,unsat
pec_look_ahead_arbiter_4_347,233,unsat
pec_look_ahead_arbiter_4_355,68,unsat
pec_look_ahead_arbiter_4_363,270,unsat
pec_look_ahead_arbiter_4_372,202,unsat
pec_look_ahead_arbiter_4_379,109,unsat
pec_look_ahead_arbiter_4_3,192,unsat
pec_look_ahead_arbiter_4_406,341,unsat
pec_look_ahead_arbiter_4_430,7200,timeout
pec_look_ahead_arbiter_4_431,215,unsat
pec_look_ahead_arbiter_4_442,188,unsat
pec_look_ahead_arbiter_4_445,271,unsat
pec_look_ahead_arbiter_4_478,581,unsat
pec_look_ahead_arbiter_4_494,80,unsat
pec_look_ahead_arbiter_4_495,219,unsat
pec_look_ahead_arbiter_4_499,154,unsat
pec_look_ahead_arbiter_4_507,254,unsat
pec_look_ahead_arbiter_4_511,142,unsat
pec_look_ahead_arbiter_4_523,644,unsat
pec_look_ahead_arbiter_4_530,247,unsat
pec_look_ahead_arbiter_4_533,146,unsat
pec_look_ahead_arbiter_4_560,121,unsat
pec_look_ahead_arbiter_4_564,64,unsat
pec_look_ahead_arbiter_4_579,124,unsat
pec_look_ahead_arbiter_4_585,152,unsat
pec_look_ahead_arbiter_4_597,152,unsat
pec_look_ahead_arbiter_4_604,235,unsat
pec_look_ahead_arbiter_4_605,182,unsat
pec_look_ahead_arbiter_4_609,303,unsat
pec_look_ahead_arbiter_4_612,94,unsat
pec_look_ahead_arbiter_4_619,394,unsat
pec_look_ahead_arbiter_4_620,540,unsat
pec_look_ahead_arbiter_4_645,447,unsat
pec_look_ahead_arbiter_4_655,94,unsat
pec_look_ahead_arbiter_4_656,171,unsat
pec_look_ahead_arbiter_4_668,103,unsat
pec_look_ahead_arbiter_4_688,50,unsat
pec_look_ahead_arbiter_4_694,280,unsat
pec_look_ahead_arbiter_4_695,172,unsat
pec_look_ahead_arbiter_4_729,526,unsat
pec_look_ahead_arbiter_4_72,158,unsat
pec_look_ahead_arbiter_4_730,91,unsat
pec_look_ahead_arbiter_4_741,100,unsat
pec_look_ahead_arbiter_4_751,270,unsat
pec_look_ahead_arbiter_4_76,84,unsat
pec_look_ahead_arbiter_4_775,48,unsat
pec_look_ahead_arbiter_4_783,230,unsat
pec_look_ahead_arbiter_4_78,68,unsat
pec_look_ahead_arbiter_4_793,172,unsat
pec_look_ahead_arbiter_4_797,7201,timeout
pec_look_ahead_arbiter_4_803,79,unsat
pec_look_ahead_arbiter_4_825,3292,sat
pec_look_ahead_arbiter_4_833,7200,timeout
pec_look_ahead_arbiter_4_836,594,unsat
pec_look_ahead_arbiter_4_839,225,unsat
pec_look_ahead_arbiter_4_842,287,unsat
pec_look_ahead_arbiter_4_846,102,unsat
pec_look_ahead_arbiter_4_854,292,unsat
pec_look_ahead_arbiter_4_856,116,unsat
pec_look_ahead_arbiter_4_860,124,unsat
pec_look_ahead_arbiter_4_866,225,unsat
pec_look_ahead_arbiter_4_872,381,unsat
pec_look_ahead_arbiter_4_873,170,unsat
pec_look_ahead_arbiter_4_877,157,unsat
pec_look_ahead_arbiter_4_893,175,unsat
pec_look_ahead_arbiter_4_898,211,unsat
pec_look_ahead_arbiter_4_922,91,unsat
pec_look_ahead_arbiter_4_936,137,unsat
pec_look_ahead_arbiter_4_937,271,unsat
pec_look_ahead_arbiter_4_942,121,unsat
pec_look_ahead_arbiter_4_952,294,unsat
pec_look_ahead_arbiter_4_955,78,unsat
pec_look_ahead_arbiter_4_977,138,unsat
pec_look_ahead_arbiter_4_983,370,unsat
pec_look_ahead_arbiter_4_984,174,unsat
pec_look_ahead_arbiter_4_995,137,unsat
pec_look_ahead_arbiter_4_998,152,unsat
