benchmark,time(s),result
pec_10104,1,sat
pec_10420,1,sat
pec_10718,1,sat
pec_11016,1,unsat
pec_13610,1,sat
pec_15130,1,unsat
pec_17060,1,sat
pec_1718,1,sat
pec_19899,2,sat
pec_19920,1,sat
pec_21191,1,sat
pec_21570,0,unsat
pec_21698,1,sat
pec_22390,2,sat
pec_22437,2,sat
pec_23858,1,sat
pec_24395,1,unsat
pec_25289,1,unsat
pec_26923,1,unsat
pec_2730,1,unsat
pec_27568,2,sat
pec_28151,2,sat
pec_28449,1,sat
pec_28618,1,sat
pec_28641,2,sat
pec_29589,2,unsat
pec_2973,1,sat
pec_29849,1,sat
pec_32011,1,unsat
pec_32035,1,unsat
pec_32096,1,sat
pec_32374,2,sat
pec_32494,2,sat
pec_3257,1,sat
pec_3305,2,sat
pec_34160,0,sat
pec_35779,2,sat
pec_35831,1,sat
pec_35862,1,sat
pec_3600,1,sat
pec_37019,1,unsat
pec_37676,1,sat
pec_37749,1,sat
pec_38310,2,sat
pec_38378,1,sat
pec_38503,2,unsat
pec_38932,0,sat
pec_39779,2,sat
pec_40399,2,unsat
pec_40501,1,sat
pec_41211,1,unsat
pec_41243,1,unsat
pec_41264,0,sat
pec_41565,2,sat
pec_42673,2,sat
pec_43267,1,unsat
pec_43670,1,unsat
pec_44427,1,unsat
pec_453,1,unsat
pec_4563,1,sat
pec_45832,1,unsat
pec_46285,1,unsat
pec_4666,1,unsat
pec_46929,1,sat
pec_47536,1,sat
pec_48550,2,unsat
pec_49339,1,unsat
pec_49921,1,unsat
pec_50991,2,unsat
pec_51682,1,sat
pec_52593,2,sat
pec_52687,2,unsat
pec_52690,1,sat
pec_52998,1,unsat
pec_53093,2,sat
pec_5389,1,unsat
pec_55623,1,unsat
pec_55851,1,unsat
pec_56920,2,unsat
pec_57165,2,unsat
pec_57481,1,unsat
pec_57536,1,unsat
pec_57599,2,unsat
pec_59056,2,sat
pec_59950,1,unsat
pec_60068,1,unsat
pec_60679,1,unsat
pec_60727,2,unsat
pec_61549,1,unsat
pec_62439,2,unsat
pec_63526,1,unsat
pec_63736,2,unsat
pec_65208,2,unsat
pec_65370,1,unsat
pec_6816,2,sat
pec_7699,0,unsat
pec_819,1,unsat
pec_9336,1,sat
pec_9962,1,sat
pec_9988,1,unsat
