tc_name, numTrue, numFalse, numBoth,
bloem_amba10b4unrealy.dqdimacs, 1, 0, 15
bloem_amba2f8unrealy.dqdimacs, 0, 1, 8
bloem_amba3b4unrealy.dqdimacs, 0, 0, 12
bloem_amba3c5n.dqdimacs, 0, 0, 11
bloem_amba4b9n.dqdimacs, 0, 0, 11
bloem_amba4c7n.dqdimacs, 0, 0, 13
bloem_amba5b4unrealy.dqdimacs, 0, 1, 13
bloem_amba6b5n.dqdimacs, 0, 0, 14
bloem_amba6c5n.dqdimacs, 2, 0, 13
bloem_amba7b4unrealy.dqdimacs, 0, 0, 16
bloem_amba8c6unrealn.dqdimacs, 1, 0, 15
bloem_amba8c7y.dqdimacs, 2, 0, 15
bloem_amba8f56unrealy.dqdimacs, 0, 0, 14
bloem_amba8f57n.dqdimacs, 0, 0, 14
bloem_amba9b5y.dqdimacs, 1, 0, 14
bloem_amba9c5n.dqdimacs, 0, 0, 17
bloem_bs128y.dqdimacs, 0, 0, 3
bloem_bs16n.dqdimacs, 0, 0, 3
bloem_bs16y.dqdimacs, 0, 0, 3
bloem_bs64n.dqdimacs, 0, 0, 3
bloem_bs8y.dqdimacs, 0, 0, 3
bloem_cnt10n.dqdimacs, 0, 0, 2
bloem_cnt10y.dqdimacs, 0, 0, 2
bloem_cnt11n.dqdimacs, 0, 0, 2
bloem_cnt11y.dqdimacs, 0, 0, 2
bloem_cnt6n.dqdimacs, 0, 0, 2
bloem_cnt6y.dqdimacs, 0, 0, 2
bloem_cnt7y.dqdimacs, 0, 0, 2
bloem_cnt9n.dqdimacs, 0, 0, 2
bloem_cnt9y.dqdimacs, 0, 0, 2
bloem_genbuf11b3unrealn.dqdimacs, 0, 1, 20
bloem_genbuf11c2unrealn.dqdimacs, 0, 1, 20
bloem_genbuf11c2unrealy.dqdimacs, 0, 1, 20
bloem_genbuf11f11n.dqdimacs, 0, 1, 20
bloem_genbuf11f11y.dqdimacs, 0, 1, 20
bloem_genbuf12b4y.dqdimacs, 0, 0, 22
bloem_genbuf12f12n.dqdimacs, 0, 0, 22
bloem_genbuf12f12y.dqdimacs, 0, 0, 22
bloem_genbuf13b4n.dqdimacs, 0, 0, 23
bloem_genbuf13f13y.dqdimacs, 0, 0, 23
bloem_genbuf14b3unrealn.dqdimacs, 0, 0, 24
bloem_genbuf14c2unrealn.dqdimacs, 0, 1, 23
bloem_genbuf14c3y.dqdimacs, 0, 1, 23
bloem_genbuf15b4y.dqdimacs, 0, 0, 25
bloem_genbuf15c3y.dqdimacs, 0, 1, 24
bloem_genbuf15f14unrealy.dqdimacs, 0, 0, 25
bloem_genbuf15f15n.dqdimacs, 0, 0, 25
bloem_genbuf16c2unrealn.dqdimacs, 0, 1, 25
bloem_genbuf16c3y.dqdimacs, 0, 0, 26
bloem_genbuf5f4unrealn.dqdimacs, 0, 1, 12
bloem_genbuf5f4unrealy.dqdimacs, 0, 1, 12
bloem_genbuf6b4y.dqdimacs, 0, 1, 14
bloem_genbuf7c2unrealn.dqdimacs, 0, 1, 15
bloem_genbuf7f7y.dqdimacs, 0, 0, 16
bloem_genbuf8b3unrealn.dqdimacs, 0, 1, 16
bloem_genbuf8b4y.dqdimacs, 0, 1, 16
bloem_genbuf8c2unrealn.dqdimacs, 0, 1, 16
bloem_genbuf9b4n.dqdimacs, 0, 0, 19
bloem_genbuf9c2unrealy.dqdimacs, 0, 0, 19
bloem_genbuf9c3n.dqdimacs, 0, 1, 18
bloem_genbuf9f8unrealy.dqdimacs, 0, 1, 18
bloem_ifm_amba15n.dqdimacs, 0, 0, 26
bloem_mv11n.dqdimacs, 0, 0, 12
bloem_mv20n.dqdimacs, 0, 1, 19
