benchmark,time(s),result
pec_bit_cell_arbiter_2_106,16,unsat
pec_bit_cell_arbiter_2_107,15,unsat
pec_bit_cell_arbiter_2_126,15,unsat
pec_bit_cell_arbiter_2_12,8,unsat
pec_bit_cell_arbiter_2_152,13,unsat
pec_bit_cell_arbiter_2_168,15,unsat
pec_bit_cell_arbiter_2_169,27,unsat
pec_bit_cell_arbiter_2_171,21,unsat
pec_bit_cell_arbiter_2_205,11,unsat
pec_bit_cell_arbiter_2_20,17,unsat
pec_bit_cell_arbiter_2_214,7,unsat
pec_bit_cell_arbiter_2_218,15,unsat
pec_bit_cell_arbiter_2_220,10,unsat
pec_bit_cell_arbiter_2_221,15,unsat
pec_bit_cell_arbiter_2_233,19,unsat
pec_bit_cell_arbiter_2_23,10,unsat
pec_bit_cell_arbiter_2_248,15,unsat
pec_bit_cell_arbiter_2_250,40,unsat
pec_bit_cell_arbiter_2_286,16,unsat
pec_bit_cell_arbiter_2_298,20,unsat
pec_bit_cell_arbiter_2_2,8,unsat
pec_bit_cell_arbiter_2_302,8,unsat
pec_bit_cell_arbiter_2_310,27,unsat
pec_bit_cell_arbiter_2_313,11,unsat
pec_bit_cell_arbiter_2_314,13,unsat
pec_bit_cell_arbiter_2_315,22,unsat
pec_bit_cell_arbiter_2_324,9,unsat
pec_bit_cell_arbiter_2_325,19,unsat
pec_bit_cell_arbiter_2_332,5,unsat
pec_bit_cell_arbiter_2_356,10,unsat
pec_bit_cell_arbiter_2_367,7200,timeout
pec_bit_cell_arbiter_2_369,13,unsat
pec_bit_cell_arbiter_2_374,13,unsat
pec_bit_cell_arbiter_2_376,24,unsat
pec_bit_cell_arbiter_2_385,12,unsat
pec_bit_cell_arbiter_2_389,9,unsat
pec_bit_cell_arbiter_2_412,14,unsat
pec_bit_cell_arbiter_2_417,30,unsat
pec_bit_cell_arbiter_2_420,23,unsat
pec_bit_cell_arbiter_2_439,6,unsat
pec_bit_cell_arbiter_2_463,11,unsat
pec_bit_cell_arbiter_2_469,37,unsat
pec_bit_cell_arbiter_2_499,17,unsat
pec_bit_cell_arbiter_2_506,13,unsat
pec_bit_cell_arbiter_2_512,12,unsat
pec_bit_cell_arbiter_2_530,17,unsat
pec_bit_cell_arbiter_2_535,18,unsat
pec_bit_cell_arbiter_2_545,8,unsat
pec_bit_cell_arbiter_2_556,13,unsat
pec_bit_cell_arbiter_2_567,17,unsat
pec_bit_cell_arbiter_2_577,5,unsat
pec_bit_cell_arbiter_2_588,5,unsat
pec_bit_cell_arbiter_2_589,14,unsat
pec_bit_cell_arbiter_2_612,16,unsat
pec_bit_cell_arbiter_2_632,14,unsat
pec_bit_cell_arbiter_2_634,13,unsat
pec_bit_cell_arbiter_2_637,16,unsat
pec_bit_cell_arbiter_2_651,7,unsat
pec_bit_cell_arbiter_2_684,28,unsat
pec_bit_cell_arbiter_2_686,8,unsat
pec_bit_cell_arbiter_2_711,6,unsat
pec_bit_cell_arbiter_2_717,12,unsat
pec_bit_cell_arbiter_2_723,16,unsat
pec_bit_cell_arbiter_2_729,14,unsat
pec_bit_cell_arbiter_2_747,27,unsat
pec_bit_cell_arbiter_2_749,11,unsat
pec_bit_cell_arbiter_2_754,11,unsat
pec_bit_cell_arbiter_2_756,8,unsat
pec_bit_cell_arbiter_2_761,7,unsat
pec_bit_cell_arbiter_2_765,30,unsat
pec_bit_cell_arbiter_2_771,26,unsat
pec_bit_cell_arbiter_2_775,14,unsat
pec_bit_cell_arbiter_2_78,11,unsat
pec_bit_cell_arbiter_2_806,5,unsat
pec_bit_cell_arbiter_2_808,14,unsat
pec_bit_cell_arbiter_2_827,20,unsat
pec_bit_cell_arbiter_2_829,19,unsat
pec_bit_cell_arbiter_2_830,9,unsat
pec_bit_cell_arbiter_2_854,13,unsat
pec_bit_cell_arbiter_2_858,17,unsat
pec_bit_cell_arbiter_2_862,19,unsat
pec_bit_cell_arbiter_2_86,7,unsat
pec_bit_cell_arbiter_2_875,7200,timeout
pec_bit_cell_arbiter_2_887,9,unsat
pec_bit_cell_arbiter_2_899,7,unsat
pec_bit_cell_arbiter_2_8,11,unsat
pec_bit_cell_arbiter_2_901,14,unsat
pec_bit_cell_arbiter_2_906,20,unsat
pec_bit_cell_arbiter_2_90,13,unsat
pec_bit_cell_arbiter_2_920,17,unsat
pec_bit_cell_arbiter_2_924,31,unsat
pec_bit_cell_arbiter_2_925,23,unsat
pec_bit_cell_arbiter_2_928,11,unsat
pec_bit_cell_arbiter_2_940,8,unsat
pec_bit_cell_arbiter_2_965,8,unsat
pec_bit_cell_arbiter_2_970,15,unsat
pec_bit_cell_arbiter_2_97,13,unsat
pec_bit_cell_arbiter_2_987,16,unsat
pec_bit_cell_arbiter_2_996,13,unsat
pec_bit_cell_arbiter_2_999,28,unsat
