benchmark,time(s),result
pec_adder_3_bit_2_30,1,unsat
pec_adder_3_bit_2_40,0,error
pec_adder_3_bit_2_46,1,unsat
pec_adder_3_bit_2_82,1,error
pec_adder_3_bit_2_98,1,error
pec_adder_3_bit_4_0,1,sat
pec_adder_3_bit_4_10,1,unsat
pec_adder_3_bit_4_11,0,unsat
pec_adder_3_bit_4_12,1,unsat
pec_adder_3_bit_4_13,0,unsat
pec_adder_3_bit_4_14,1,unsat
pec_adder_3_bit_4_15,0,error
pec_adder_3_bit_4_16,1,unsat
pec_adder_3_bit_4_17,0,unsat
pec_adder_3_bit_4_18,1,unsat
pec_adder_3_bit_4_19,0,unsat
pec_adder_3_bit_4_1,1,unsat
pec_adder_3_bit_4_20,0,unsat
pec_adder_3_bit_4_21,1,unsat
pec_adder_3_bit_4_22,0,unsat
pec_adder_3_bit_4_23,1,unsat
pec_adder_3_bit_4_24,0,unsat
pec_adder_3_bit_4_25,1,unsat
pec_adder_3_bit_4_26,0,unsat
pec_adder_3_bit_4_27,1,unsat
pec_adder_3_bit_4_28,0,unsat
pec_adder_3_bit_4_29,1,sat
pec_adder_3_bit_4_2,1,sat
pec_adder_3_bit_4_30,1,unsat
pec_adder_3_bit_4_31,0,unsat
pec_adder_3_bit_4_32,1,unsat
pec_adder_3_bit_4_33,0,unsat
pec_adder_3_bit_4_34,1,unsat
pec_adder_3_bit_4_35,0,unsat
pec_adder_3_bit_4_36,1,unsat
pec_adder_3_bit_4_38,0,error
pec_adder_3_bit_4_39,1,unsat
pec_adder_3_bit_4_3,0,unsat
pec_adder_3_bit_4_40,1,error
pec_adder_3_bit_4_41,0,unsat
pec_adder_3_bit_4_42,0,unsat
pec_adder_3_bit_4_43,1,unsat
pec_adder_3_bit_4_44,0,unsat
pec_adder_3_bit_4_45,1,unsat
pec_adder_3_bit_4_46,0,unsat
pec_adder_3_bit_4_47,1,unsat
pec_adder_3_bit_4_48,0,error
pec_adder_3_bit_4_4,1,unsat
pec_adder_3_bit_4_50,0,unsat
pec_adder_3_bit_4_51,1,unsat
pec_adder_3_bit_4_52,0,unsat
pec_adder_3_bit_4_53,1,error
pec_adder_3_bit_4_54,0,unsat
pec_adder_3_bit_4_55,1,sat
pec_adder_3_bit_4_56,0,unsat
pec_adder_3_bit_4_57,1,unsat
pec_adder_3_bit_4_58,1,sat
pec_adder_3_bit_4_59,0,unsat
pec_adder_3_bit_4_60,1,error
pec_adder_3_bit_4_61,0,unsat
pec_adder_3_bit_4_62,1,unsat
pec_adder_3_bit_4_63,0,unsat
pec_adder_3_bit_4_64,1,unsat
pec_adder_3_bit_4_65,0,unsat
pec_adder_3_bit_4_66,3,sat
pec_adder_3_bit_4_67,1,error
pec_adder_3_bit_4_68,0,unsat
pec_adder_3_bit_4_69,12,unsat
pec_adder_3_bit_4_6,0,unsat
pec_adder_3_bit_4_70,1,error
pec_adder_3_bit_4_71,0,unsat
pec_adder_3_bit_4_72,1,error
pec_adder_3_bit_4_73,0,error
pec_adder_3_bit_4_74,3,sat
pec_adder_3_bit_4_75,0,unsat
pec_adder_3_bit_4_76,1,unsat
pec_adder_3_bit_4_77,0,unsat
pec_adder_3_bit_4_78,1,unsat
pec_adder_3_bit_4_79,0,sat
pec_adder_3_bit_4_7,1,unsat
pec_adder_3_bit_4_80,2,sat
pec_adder_3_bit_4_81,0,unsat
pec_adder_3_bit_4_82,1,error
pec_adder_3_bit_4_83,0,unsat
pec_adder_3_bit_4_84,1,unsat
pec_adder_3_bit_4_85,0,unsat
pec_adder_3_bit_4_86,1,unsat
pec_adder_3_bit_4_87,0,unsat
pec_adder_3_bit_4_88,1,error
pec_adder_3_bit_4_89,0,error
pec_adder_3_bit_4_8,1,error
